Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
t129,3.8047235454514784e-8,3.0804536399313477e-7,6.615805695509533e-6,6.961898294957182e-6
t130,4.390603530271558e-8,3.4287042469667645e-7,8.155337245486299e-6,8.542113705485691e-6
t131,5.083298499196161e-8,3.632800929037533e-7,9.590000046235439e-6,1.0004113124131154e-5
t132,5.900697708584774e-8,3.730102828634512e-7,1.080705725798976e-5,1.1239074517939059e-5
t133,6.964715438125234e-8,3.8061102104829376e-7,1.213302964239442e-5,1.2583287817823966e-5
t134,8.547461886423054e-8,3.9298757154840397e-7,1.4252667039439145e-5,1.4731129229851778e-5
t135,1.1349452514912698e-7,4.206496954609547e-7,1.900251368356944e-5,1.9536657904179524e-5
t136,1.7794901243728898e-7,4.921919301673814e-7,3.69431840512383e-5,3.7613324993842975e-5
t137,4.067971568701222e-7,7.467505142879615e-7,1.678784314014083,1.6787854675617542
t138,2.3135952746641761e-7,5.60535502226704e-7,7.851542028405047e-5,7.93073153137436e-5
t139,1.6685429970186743e-7,4.945750632706476e-7,4.185696332226538e-5,4.25183926852379e-5
t140,1.3192647198081203e-7,4.6296391178301463e-7,2.9929763179535736e-5,3.0524653563299564e-5
t141,1.0965404033174314e-7,4.4561317501564846e-7,2.4197321777802692e-5,2.4752588993150083e-5
t142,9.406988091641814e-8,4.3514915402976366e-7,2.0983193925090293e-5,2.1512412960036474e-5
t143,8.247722780701835e-8,4.2813970208868954e-7,1.9080406806978715e-5,1.9591023736874424e-5
t144,7.346424036131707e-8,4.226261716059324e-7,1.798679001502776e-5,1.848288042699501e-5
