Resource,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,Total
t52,-1.4187907071645492e-6,2.2123737171540655e-8,-9.575172120039712e-7,-9.060650860627435e-7,-2.138738802197562e-7,0.0,0.0,-4.406409740147837e-6,-1.2585120373173959e-8,-1.2953202640906032e-8,-1.21840318374956e-8,-1.267563239818888e-8,-1.4187907071645492e-6,-1.4187907071645492e-6,-9.937563229581672e-8,-9.937563229581672e-8,-1.0967263554597812e-5
t53,-3.3305168546976806e-8,4.095665010351459e-9,-8.82895050141611e-8,-8.64419726349245e-8,-2.1483922582052596e-7,0.0,0.0,-1.0137316053695286e-7,-8.553465927397283e-9,-8.757598725667763e-9,-8.272478672997339e-9,-8.602129890772195e-9,-3.3305168546976806e-8,-3.3305168546976806e-8,-2.7278024787789837e-8,-2.7278024787789837e-8,-6.755054274295576e-7
t54,-1.9062108171418691e-6,2.1240274582669503e-8,-1.6274326073600886e-6,-1.4232078285579008e-6,-2.1576140013088413e-7,0.0,0.0,-5.915938494004578e-6,-1.2628453146688644e-8,-1.299955003529225e-8,-1.218937048822575e-8,-1.2681882617464946e-8,-1.9062108171418691e-6,-1.9062108171418691e-6,-1.2089799691567548e-7,-1.2089799691567548e-7,-1.5172027757015412e-5
t55,-1.1957176312212115e-8,-5.660624238633913e-10,-1.3083764011814621e-9,-1.2735143213309393e-9,-9.958884069405035e-9,0.0,0.0,-4.886453193039609e-8,-4.570104594783793e-10,-4.5951005391405965e-10,-4.4103460512605634e-10,-4.582754299218144e-10,-1.1957176312212115e-8,-1.1957176312212115e-8,-5.492898662783042e-10,-5.492898662783042e-10,-1.0075730836381019e-7
t56,-3.2043240499809834e-6,-5.902490613326377e-8,4.940376517197617e-9,1.0956004398890053e-9,-1.820380242594749e-8,0.0,0.0,-9.9365911308582e-6,-0.0001404222795902901,-0.00013756207796186917,-6.3955724772421026e-6,-0.000928415831217044,-3.2043240499809834e-6,-3.2043240499809834e-6,2.575062955476006e-9,2.575062955476006e-9,-0.0012324113671329376
t57,-6.437241983292933e-6,3.130134644586428e-8,6.561971963964965e-8,6.849307020638907e-8,-1.4219342974709684e-8,0.0,0.0,-1.994422718705619e-5,-9.236587597252039e-7,-9.236264822352459e-7,-4.130700450888029e-7,-9.254287921488309e-7,-6.437241983292933e-6,-6.437241983292933e-6,2.8816678678400962e-8,2.8816678678400962e-8,-4.223290906545908e-5
t58,-6.212103603196867e-9,1.6019518928628603e-10,5.457007161625119e-9,5.184848934806638e-9,-7.733803956919857e-10,0.0,0.0,-1.6518603695063967e-8,-1.762038795165337e-8,-1.7667312585619232e-8,1.949671371504113e-9,-1.7363956467907824e-8,-6.212103603196867e-9,-6.212103603196867e-9,2.7226598494581493e-9,2.7226598494581493e-9,-7.038290954938852e-8
t59,3.4685945602980767e-6,1.5800269324855815e-10,5.3654917202251185e-9,5.1040649492989104e-9,-7.764743033059303e-10,0.0,0.0,9.88968195989275e-6,8.083880372422778e-6,7.629876366424534e-6,1.9557977711501963e-9,1.1898331276508865e-5,3.4685945602980767e-6,3.4685945602980767e-6,2.684569782941437e-9,2.684569782941437e-9,4.792472967853966e-5
t60,1.7196998390885842e-6,1.5582940100445543e-10,5.274862178085249e-9,5.0239412069348245e-9,-7.79547686465081e-10,0.0,0.0,4.902648333599121e-6,3.992836415593179e-6,3.7660976139006933e-6,1.9372975303439197e-9,5.893572745535937e-6,1.7196998390885842e-6,1.7196998390885842e-6,2.6467838342880933e-9,2.6467838342880933e-9,2.373116057619316e-5
t61,1.2775061106401875e-6,1.5372249109182908e-10,5.185212719589953e-9,4.944572909899777e-9,-7.825789073616966e-10,0.0,0.0,3.640004240227381e-6,2.956623209095463e-6,2.78637678976129e-6,1.933403499370409e-9,4.383660174996954e-6,1.2775061106401875e-6,1.2775061106401875e-6,2.6093516548157752e-9,2.6093516548157752e-9,1.761583578202387e-5
t62,1.0556539065413303e-6,1.5160664585994927e-10,5.096435043764827e-9,4.865848584014685e-9,-7.856193110300719e-10,0.0,0.0,3.006317382271049e-6,2.4363593301126826e-6,2.2943447510582687e-6,1.92979697598644e-9,3.626489553990696e-6,1.0556539065413303e-6,1.0556539065413303e-6,2.5722281537267545e-9,2.5722281537267545e-9,1.4546875261302735e-5
t63,9.168361762336798e-7,1.49542881163307e-10,5.0085513816085205e-9,4.7878142637154014e-9,-7.886174322621186e-10,0.0,0.0,2.6096506877380026e-6,2.1105670048019406e-6,1.9861791489928686e-6,1.929090911245108e-9,3.152732042086141e-6,9.168361762336798e-7,9.168361762336798e-7,2.5354226949214783e-9,2.5354226949214783e-9,1.2625794639715305e-5
t64,8.195460750449087e-7,1.4745632209363298e-10,4.921492923619211e-9,4.710387696889101e-9,-7.916320063322031e-10,0.0,0.0,2.331606059105991e-6,1.8821210914772087e-6,1.7700625235915287e-6,1.9275237382258933e-9,2.8207273740093613e-6,8.195460750449087e-7,8.195460750449087e-7,2.498911235951701e-9,2.498911235951701e-9,1.1279068324465214e-5
