Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
9.88231664322825e-6,1.931224632925724e-5,0.0,0.0,1.2292817419409216e-5,1.1983735929064782e-5,2.725089785337624e-5,1.1684678876895478e-5,1.4246234048678449e-5,2.863289916991219e-5,9.068070434326281e-6,0.0,1.3690096249519002e-5,1.3714068906267585e-5,1.3711931664772692e-5
8.376683078070712e-6,0.0,0.0,0.0,1.2733380791363475e-5,1.140738822793347e-5,0.0,1.2637170036776178e-5,1.400515429591437e-5,0.0,6.594955772559881e-6,0.0,1.2108953045264492e-5,1.216078163457368e-5,1.2101337121511735e-5
0.0,0.0,0.0,0.0,1.364622228823592e-5,1.2313382603392338e-5,0.0,1.2333762335572908e-5,1.5608224702221636e-5,0.0,7.809259246230441e-6,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3558306691974098e-5,1.2840281170313837e-5,0.0,1.1711153860420168e-5,1.5229603969746072e-5,0.0,9.658537961809356e-6,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2725506568522024e-5,1.1504553498823183e-5,0.0,1.0135562955007933e-5,1.3927361572976645e-5,0.0,1.2787117965717206e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.1218694974791701e-5,8.367306438605544e-6,0.0,8.536721857687798e-6,1.3307715259190055e-5,0.0,1.623000583863219e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.750096240066343e-6,5.612152255754359e-6,0.0,6.523374497449261e-6,1.253267151891908e-5,0.0,1.8349534398598303e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.017002243276835e-6,5.241743088924724e-6,0.0,5.6581950735419254e-6,1.1243903724826685e-5,0.0,1.9007238901971654e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.36287214720165e-6,4.150994463074069e-6,0.0,5.070009054649389e-6,9.237580996733616e-6,0.0,1.9253826590918586e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.527266733679725e-6,1.8356404498366652e-6,0.0,5.027744588600845e-6,6.910743101607767e-6,0.0,1.9104649446618326e-5,0.0,0.0,0.0,0.0
0.0,1.3898158181224492e-5,0.0,0.0,4.082360440208954e-6,1.4757651069891909e-6,0.0,5.700330804023725e-6,3.870427260831424e-6,0.0,1.8904958152767103e-5,0.0,0.0,0.0,0.0
0.0,3.607043355752083e-5,0.0,0.0,4.3259072896953175e-6,1.5209312219555535e-6,2.459112014888198e-5,5.4918991410809976e-6,2.3167729760596716e-6,3.617210627999957e-5,1.592118946357106e-5,0.0,0.0,0.0,0.0
3.806829404157108e-5,8.533658704112319e-5,0.0,0.0,3.4528877378517898e-6,1.2115776950905498e-6,7.774567775465151e-5,4.822816980526966e-6,1.1418627447699485e-6,8.561521759143535e-5,1.0573139601564028e-5,0.0,0.0,4.26825159438593e-5,4.252127288240093e-5
4.1677201927825536e-5,9.210669206186084e-5,0.0,0.0,2.9371543249213753e-6,1.0737836213916839e-6,8.65082059679134e-5,2.7137604396195736e-6,7.899517791199726e-7,9.234183773381315e-5,1.0437976793354846e-5,0.0,4.5951315601033826e-5,4.6189631348170224e-5,4.616611274599336e-5
4.84583369768643e-5,0.00010557578076502691,0.0,0.0,5.014002264164243e-6,1.856597507286211e-6,9.938393869883162e-5,3.3669903365713125e-6,9.078246419482603e-7,0.00010585275054186954,1.2190021361255707e-5,0.0,5.3217015716811034e-5,5.311916130779082e-5,5.3201128494606564e-5
5.048660834461316e-5,0.0001096085260485572,0.0,0.0,7.654743013372003e-6,3.5923146797378e-6,0.00010347646746693849,4.798389051069341e-6,1.8459114349418618e-6,0.00010990146097576065,1.072982338686417e-5,0.0,5.570363331086625e-5,5.5224759378802446e-5,5.5619324228928235e-5
4.899091107546383e-5,0.00010663294283918179,0.0,0.0,9.447122281595836e-6,4.991316006058498e-6,0.00010096071387777976,8.419122601870181e-6,3.318754502148215e-6,0.00010690648899746301,8.293076842844718e-6,0.0,5.5122063970181046e-5,5.371567772272101e-5,5.3858477500057234e-5
4.797867850214743e-5,0.0001046076143762373,0.0,0.0,1.214874514040336e-5,5.929877247260254e-6,9.91407678866775e-5,1.3059722418125693e-5,6.219164984306572e-6,0.00010488353794047468,8.466216367186291e-6,0.0,5.3259263364413556e-5,5.2689526640392614e-5,5.305211838901869e-5
4.4768383240523235e-5,9.818486421879746e-5,0.0,0.0,1.4663144781453594e-5,9.042048578808449e-6,9.33213841568189e-5,1.71618540142111e-5,1.1084995756186456e-5,9.847433104047821e-5,1.2063366471194998e-5,0.0,4.987679028101155e-5,4.942791451867379e-5,4.976248558818952e-5
4.11891845288892e-5,9.110053537436804e-5,0.0,0.0,1.632995355383997e-5,1.855253987576649e-5,8.688340726255831e-5,1.937885177271355e-5,1.4678578977452459e-5,9.132286409733636e-5,1.2526515283313123e-5,0.0,4.6150117639864874e-5,4.577722410203933e-5,4.608643176595706e-5
3.9056010692206655e-5,8.684684891889471e-5,0.0,0.0,1.7473225620642774e-5,1.8779681534289783e-5,8.290402567335022e-5,2.0946134600542327e-5,1.8096350206866278e-5,8.706076490342102e-5,1.6599904979292644e-5,0.0,4.396759724478727e-5,4.357817080347104e-5,4.389504402979583e-5
3.7164886585117074e-5,8.304960183180986e-5,0.0,0.0,1.8651176363821393e-5,1.2800391406832382e-5,7.890186415585573e-5,2.2513048854787118e-5,2.0991939804908625e-5,8.327628768291228e-5,1.60991135289219e-5,0.0,4.1994672710377046e-5,4.1642470378633334e-5,4.194908400734221e-5
3.1115525949587663e-5,7.098220928513452e-5,0.0,0.0,1.888482017207249e-5,8.752225602228261e-6,6.689666664752824e-5,2.3853525327308933e-5,2.1831724273268796e-5,7.117639364996805e-5,1.6254102663256288e-5,0.0,3.571869058394128e-5,3.547353338717585e-5,3.572694572540058e-5
2.2513470725016305e-5,5.3616698525825076e-5,0.0,0.0,1.80204400686295e-5,1.1281820063742696e-5,5.007370018036768e-5,2.305156280984879e-5,2.022787592841862e-5,5.396465304105e-5,1.1141844105458385e-5,0.0,2.6740621703602585e-5,2.6676073005660328e-5,2.6707267480219343e-5
1.871062026737036e-5,2.4072528126030375e-5,0.0,0.0,1.6278731443967605e-5,6.942661496628261e-6,3.8978984977305656e-5,2.44645953944519e-5,1.912889103731171e-5,4.620004954081302e-5,8.503151762963499e-6,0.0,2.27293442769394e-5,2.2769016609913706e-5,2.2764782528383876e-5
1.3336114259354659e-5,0.0,0.0,0.0,1.3592123021410651e-5,8.65850630056207e-6,0.0,2.2342320154133595e-5,1.9378241759822414e-5,0.0,9.720745827426121e-6,0.0,1.7167486995234293e-5,1.7254709407055202e-5,1.7202576999331143e-5
0.0,0.0,0.0,0.0,1.137123478608661e-5,1.302460296921784e-5,0.0,1.688656410251701e-5,1.6548375867543058e-5,0.0,1.2764619196930708e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2463733992626323e-5,1.2822665647085727e-5,0.0,2.0334073772017916e-5,2.1827175738747942e-5,0.0,1.5570757987878042e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2280902561279135e-5,1.108646232744899e-5,0.0,2.0202995691020547e-5,2.153678088504673e-5,0.0,1.5011996908302783e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.203257971819427e-5,1.3779961411759233e-5,0.0,2.010432787107695e-5,2.0725574655408916e-5,0.0,1.4520185338837571e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0683362445813912e-5,1.3901172794139633e-5,0.0,1.899870404728143e-5,2.0116809513056328e-5,0.0,1.5740603483209943e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.1464706620329273e-5,1.0536680162594134e-5,0.0,1.9196555262553246e-5,1.9096571486839552e-5,0.0,1.7932910160638446e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0683979031777265e-5,1.2348052876258128e-5,0.0,1.8417849504459266e-5,1.8099272786936036e-5,0.0,1.798068795904351e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0518147063754788e-5,1.855204961483974e-5,0.0,1.886915799984093e-5,1.67869773526981e-5,0.0,1.8214267701196116e-5,0.0,0.0,0.0,0.0
0.0,1.3876104737937457e-5,0.0,0.0,8.551220518701301e-6,1.9998793914517773e-5,0.0,1.9868319249874255e-5,1.5279341734000693e-5,0.0,1.9677313679971363e-5,0.0,0.0,0.0,0.0
